Screen,Action,UI control,Permission,Writable-period rule,HTTP method,Endpoint,Request field/schema,Service,Tables read,Tables written,Success behavior,Failure behavior,Idempotency,Concurrency,Handler,File,Kind
direct-emissions-allocation,Retry,button/link,cbam:configure,blocked-when-locked,GET,POST …/direct-emissions-allocation/executions,n/a-query/path,CbamDirectEmissionsAllocationService,"cbam_direct_emissions_allocation_results, cbam_dea_product_allocations, cbam_dea_monthly_basis_snapshots, cbam_dea_source_snapshots, cbam_direct_emissions_allocation_current",—,reload-or-toast,inline-error,n/a-read,n/a,reload(),direct-emissions-allocation/direct-emissions-allocation.component.html,write
direct-emissions-allocation,Direct Emissions,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,goToDirectEmissions.emit(),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Production,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,goToProduction.emit(),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Monthly allocation data,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,goToMonthlyAllocationData.emit(),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,@if (submitting()) { Working… } @else { {{ executeButtonLabel() }} },button/link,cbam:configure,blocked-when-locked,POST/PATCH,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,handler:executeAllocation form/payload,CbamDirectEmissionsAllocationService,"cbam_direct_emissions_allocation_results, cbam_dea_product_allocations, cbam_dea_monthly_basis_snapshots, cbam_dea_source_snapshots, cbam_direct_emissions_allocation_current","cbam_direct_emissions_allocation_results, cbam_dea_product_allocations, cbam_dea_monthly_basis_snapshots, cbam_dea_source_snapshots, cbam_direct_emissions_allocation_current",reload-or-toast,inline-error,clientRequestId-if-execution,409-on-rowVersion,executeAllocation(),direct-emissions-allocation/direct-emissions-allocation.component.html,write
direct-emissions-allocation,View details,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,viewDetails(r.resultId),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Overview,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('overview'),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Monthly attribution,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('monthly'),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Fuels,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('fuels'),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Products,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('products'),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Balance,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('balance'),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Method and sources,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('method'),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
direct-emissions-allocation,Audit,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('audit'),direct-emissions-allocation/direct-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Retry,button/link,cbam:configure,blocked-when-locked,GET,POST …/indirect-emissions-allocation/executions,n/a-query/path,CbamIndirectEmissionsAllocationService,"cbam_indirect_emissions_allocation_results, cbam_iea_product_allocations, cbam_iea_monthly_basis_snapshots, cbam_iea_source_snapshots, cbam_indirect_emissions_allocation_current",—,reload-or-toast,inline-error,n/a-read,n/a,reload(),indirect-emissions-allocation/indirect-emissions-allocation.component.html,write
indirect-emissions-allocation,Indirect Emissions,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,goToIndirectEmissions.emit(),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Production,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,goToProduction.emit(),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Monthly allocation data,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,goToMonthlyAllocationData.emit(),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,@if (submitting()) { Working… } @else { {{ executeButtonLabel() }} },button/link,cbam:configure,blocked-when-locked,POST/PATCH,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,handler:executeAllocation form/payload,CbamIndirectEmissionsAllocationService,"cbam_indirect_emissions_allocation_results, cbam_iea_product_allocations, cbam_iea_monthly_basis_snapshots, cbam_iea_source_snapshots, cbam_indirect_emissions_allocation_current","cbam_indirect_emissions_allocation_results, cbam_iea_product_allocations, cbam_iea_monthly_basis_snapshots, cbam_iea_source_snapshots, cbam_indirect_emissions_allocation_current",reload-or-toast,inline-error,clientRequestId-if-execution,409-on-rowVersion,executeAllocation(),indirect-emissions-allocation/indirect-emissions-allocation.component.html,write
indirect-emissions-allocation,View details,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,viewDetails(r.resultId),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Overview,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('overview'),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Monthly attribution,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('monthly'),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Electricity sources,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('sources'),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Product allocations,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('products'),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Exported electricity,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('exported'),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Balance,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('balance'),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
indirect-emissions-allocation,Method and audit,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,toggleSection('method'),indirect-emissions-allocation/indirect-emissions-allocation.component.html,navigate-or-read
installation-detail.component,Back,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,—,installation-detail.component.html,navigate-or-read
installation-detail.component,Save,button/link,cbam:configure,blocked-when-locked,POST/PATCH,GET|PATCH …/installations/{id}; POST …/activate|archive,handler:anonymous form/payload,CbamInstallationService,cbam_installation_profiles,cbam_installation_profiles,reload-or-toast,inline-error,n/a-or-rowVersion,409-on-rowVersion,—,installation-detail.component.html,write
installation-detail.component,Activate,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/installations/{id}/activate,activateInstallation request DTO,CbamInstallationService,cbam_installation_profiles,cbam_installation_profiles,reload-or-toast,inline-error,create-new-row-or-n/a,n/a,activate(),installation-detail.component.html,write
installation-detail.component,Archive,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/installations/{id}/archive,archiveInstallation body incl. rowVersion where applicable,CbamInstallationService,cbam_installation_profiles,cbam_installation_profiles,reload-or-toast,inline-error,rowVersion,409-on-rowVersion,archive(),installation-detail.component.html,write
installation-form.component,Back,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,—,installation-form.component.html,navigate-or-read
installation-form.component,Save,button/link,cbam:configure,blocked-when-locked,POST/PATCH,POST …/installations,handler:anonymous form/payload,CbamInstallationService,cbam_installation_profiles,cbam_installation_profiles,reload-or-toast,inline-error,n/a-or-rowVersion,409-on-rowVersion,—,installation-form.component.html,write
installation-list.component,New Installation,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,—,installation-list.component.html,navigate-or-read
installation-list.component,Filter,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,—,installation-list.component.html,navigate-or-read
installation-list.component,View,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,—,installation-list.component.html,navigate-or-read
monthly-allocation-data,Retry,button/link,cbam:configure,blocked-when-locked,GET,GET|POST …/monthly-production-basis,n/a-query/path,CbamMonthlyProductionBasisService,cbam_monthly_production_basis,—,reload-or-toast,inline-error,n/a-read,n/a,reload(),monthly-allocation-data/monthly-allocation-data.component.html,write
monthly-allocation-data,Open Direct Emissions,button/link,cbam:configure,blocked-when-locked,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,openDirectEmissions(),monthly-allocation-data/monthly-allocation-data.component.html,write
monthly-allocation-data,Reload,button/link,cbam:view,n/a,GET,GET|POST …/monthly-production-basis,n/a-query/path,CbamMonthlyProductionBasisService,cbam_monthly_production_basis,—,reload-or-toast,inline-error,n/a-read,n/a,reloadMonth(row),monthly-allocation-data/monthly-allocation-data.component.html,navigate-or-read
monthly-allocation-data,Save,button/link,cbam:configure,blocked-when-locked,POST/PATCH,GET|POST|PATCH|DELETE …/monthly-production-basis,handler:anonymous form/payload,CbamMonthlyProductionBasisService,cbam_monthly_production_basis,cbam_monthly_production_basis,reload-or-toast,inline-error,n/a-or-rowVersion,409-on-rowVersion,—,monthly-allocation-data/monthly-allocation-data.component.html,write
monthly-allocation-data,Cancel,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,cancelEdit(),monthly-allocation-data/monthly-allocation-data.component.html,navigate-or-read
monthly-allocation-data,{{ row.record ? 'Edit' : 'Enter' }},button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,startEdit(row),monthly-allocation-data/monthly-allocation-data.component.html,navigate-or-read
monthly-allocation-data,Delete,button/link,cbam:configure,blocked-when-locked,DELETE,/api/v1/cbam/organizations/{organization_id}/monthly-production-basis/{id},deleteMonthlyProductionBasis body incl. rowVersion where applicable,CbamMonthlyProductionBasisService,cbam_monthly_production_basis,cbam_monthly_production_basis,reload-or-toast,inline-error,rowVersion,409-on-rowVersion,deleteMonth(row),monthly-allocation-data/monthly-allocation-data.component.html,write
official-see-export,Open related section,button/link,cbam:configure,blocked-when-locked,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,navigate(target),official-see-export/official-see-export.component.html,write
official-see-export,Refresh status,button/link,cbam:view,n/a,GET,POST …/official-see-export/executions,n/a-query/path,CbamOfficialSeeExportService,"cbam_official_see_export_runs, cbam_official_see_export_artifacts",—,reload-or-toast,inline-error,n/a-read,n/a,refresh(),official-see-export/official-see-export.component.html,navigate-or-read
official-see-export,Download current official Excel,button/link,cbam:view,n/a,GET,/api/v1/cbam/organizations/{organization_id}/official-see-export/artifacts/{id}/download; /api/v1/cbam/organizations/{organization_id}/official-see-export/runs/{id}; /api/v1/cbam/organizations/{organization_id}/official-see-export/runs/{id}/artifacts; /api/v1/cbam/organizations/{organization_id}/reporting-period-bindings/{id}/official-see-export/readiness,query/path params,CbamOfficialSeeExportService,"cbam_official_see_export_runs, cbam_official_see_export_artifacts",—,reload-or-toast,inline-error,n/a-read,n/a,downloadCurrent(),official-see-export/official-see-export.component.html,navigate-or-read
official-see-export,@if (submitting()) { Generating… } @else { Generate official Excel },button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/reporting-period-bindings/{id}/official-see-export/executions,createOfficialSeeExportRun body incl. clientRequestId,CbamOfficialSeeExportService,"cbam_official_see_export_runs, cbam_official_see_export_artifacts","cbam_official_see_export_runs, cbam_official_see_export_artifacts",reload-or-toast,inline-error,clientRequestId,server-dedupe-on-clientRequestId,generate(),official-see-export/official-see-export.component.html,write
official-see-export,Download,button/link,cbam:view,n/a,GET,/api/v1/cbam/organizations/{organization_id}/official-see-export/runs/{id}/artifacts,query/path params,CbamOfficialSeeExportService,"cbam_official_see_export_runs, cbam_official_see_export_artifacts",—,reload-or-toast,inline-error,n/a-read,n/a,downloadRun(r),official-see-export/official-see-export.component.html,navigate-or-read
period-detail.component,Back,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,—,period-detail.component.html,navigate-or-read
period-detail.component,Open Data Collection,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/reporting-period-bindings/{id}/open-data-collection,openDataCollection request DTO,CbamPeriodWorkspaceServices,cbam_reporting_period_bindings,cbam_reporting_period_bindings,reload-or-toast,inline-error,create-new-row-or-n/a,n/a,openDataCollection(),period-detail.component.html,write
period-detail.component,Archive,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/reporting-period-bindings/{id}/archive,archivePeriodBinding body incl. rowVersion where applicable,CbamPeriodWorkspaceServices,cbam_reporting_period_bindings,cbam_reporting_period_bindings,reload-or-toast,inline-error,rowVersion,409-on-rowVersion,archive(),period-detail.component.html,write
period-detail.component,Save link,button/link,cbam:configure,blocked-when-locked,POST/PATCH,GET …/reporting-period-bindings/{id}; period-scoped CRUD,handler:confirmLinkProfile form/payload,CbamPeriodWorkspaceServices,"cbam_reporting_period_bindings, cbam_production_records, cbam_activity_records, cbam_purchased_input_records, cbam_allocation_rules, cbam_allocation_results, cbam_factor_resolutions, cbam_calculation_runs, cbam_calculation_results, cbam_export_runs, cbam_export_artifacts","cbam_reporting_period_bindings, cbam_production_records, cbam_activity_records, cbam_purchased_input_records, cbam_allocation_rules, cbam_allocation_results, cbam_factor_resolutions, cbam_calculation_runs, cbam_calculation_results, cbam_export_runs, cbam_export_artifacts",reload-or-toast,inline-error,n/a-or-rowVersion,409-on-rowVersion,confirmLinkProfile(r),period-detail.component.html,write
period-detail.component,Cancel,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,cancelLinkProfile(),period-detail.component.html,navigate-or-read
period-detail.component,Link profile,button/link,cbam:view,n/a,—,UI-only (router/tab/section),n/a,AngularRouter/UI,—,—,navigate-or-toggle,n/a,n/a,n/a,startLinkProfile(r),period-detail.component.html,navigate-or-read
period-detail.component,Archive,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/production-records/{id}/archive,archiveProductionRecord body incl. rowVersion where applicable,CbamPeriodWorkspaceServices,cbam_production_records,cbam_production_records,reload-or-toast,inline-error,rowVersion,409-on-rowVersion,archiveProduction(r),period-detail.component.html,write
period-detail.component,Save,button/link,cbam:configure,blocked-when-locked,POST/PATCH,GET …/reporting-period-bindings/{id}; period-scoped CRUD,handler:anonymous form/payload,CbamPeriodWorkspaceServices,"cbam_reporting_period_bindings, cbam_production_records, cbam_activity_records, cbam_purchased_input_records, cbam_allocation_rules, cbam_allocation_results, cbam_factor_resolutions, cbam_calculation_runs, cbam_calculation_results, cbam_export_runs, cbam_export_artifacts","cbam_reporting_period_bindings, cbam_production_records, cbam_activity_records, cbam_purchased_input_records, cbam_allocation_rules, cbam_allocation_results, cbam_factor_resolutions, cbam_calculation_runs, cbam_calculation_results, cbam_export_runs, cbam_export_artifacts",reload-or-toast,inline-error,n/a-or-rowVersion,409-on-rowVersion,—,period-detail.component.html,write
period-detail.component,Archive,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/activity-records/{id}/archive,archiveActivityRecord body incl. rowVersion where applicable,CbamPeriodWorkspaceServices,cbam_activity_records,cbam_activity_records,reload-or-toast,inline-error,rowVersion,409-on-rowVersion,archiveActivity(r),period-detail.component.html,write
period-detail.component,Archive,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/purchased-inputs/{id}/archive,archivePurchasedInput body incl. rowVersion where applicable,CbamPeriodWorkspaceServices,cbam_purchased_input_records,cbam_purchased_input_records,reload-or-toast,inline-error,rowVersion,409-on-rowVersion,archivePurchased(r),period-detail.component.html,write
period-detail.component,Activate,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/allocation-rules/{id}/activate,activateAllocationRule request DTO,CbamPeriodWorkspaceServices,cbam_allocation_rules,cbam_allocation_rules,reload-or-toast,inline-error,create-new-row-or-n/a,n/a,activateAllocationRule(r),period-detail.component.html,write
period-detail.component,Archive,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/allocation-rules/{id}/archive,archiveAllocationRule body incl. rowVersion where applicable,CbamPeriodWorkspaceServices,cbam_allocation_rules,cbam_allocation_rules,reload-or-toast,inline-error,rowVersion,409-on-rowVersion,archiveAllocationRule(r),period-detail.component.html,write
period-detail.component,Allocate Activity,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/allocation-rules/{id}/allocate/activity-records/{id},allocateActivityRecord request DTO,CbamPeriodWorkspaceServices,cbam_activity_records,cbam_activity_records,reload-or-toast,inline-error,create-new-row-or-n/a,n/a,allocateSelectedActivity(r),period-detail.component.html,write
period-detail.component,Allocate Input,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/allocation-rules/{id}/allocate/purchased-inputs/{id},allocatePurchasedInput request DTO,CbamPeriodWorkspaceServices,cbam_purchased_input_records,cbam_purchased_input_records,reload-or-toast,inline-error,create-new-row-or-n/a,n/a,allocateSelectedPurchased(r),period-detail.component.html,write
period-detail.component,Recalculate,button/link,cbam:configure,blocked-when-locked,POST,/api/v1/cbam/organizations/{organization_id}/allocation-results/{id}/recalculate,recalculateAllocationResult request DTO,CbamPeriodWorkspaceServices,cbam_allocation_results,cbam_allocation_results,reload-or-toast,inline-error,create-new-row-or-n/a,n/a,recalculateResult(r),period-detail.component.html,write
period-detail.component,Save Rule,button/link,cbam:configure,blocked-when-locked,POST/PATCH,GET …/reporting-period-bindings/{id}; period-scoped CRUD,handler:anonymous form/payload,CbamPeriodWorkspaceServices,"cbam_reporting_period_bindings, cbam_production_records, cbam_activity_records, cbam_purchased_input_records, cbam_allocation_rules, cbam_allocation_results, cbam_factor_resolutions, cbam_calculation_runs, cbam_calculation_results, cbam_export_runs, cbam_export_artifacts","cbam_reporting_period_bindings, cbam_production_records, cbam_activity_records, cbam_purchased_input_records, cbam_allocation_rules, cbam_allocation_results, cbam_factor_resolutions, cbam_calculation_runs, cbam_calculation_results, cbam_export_runs, cbam_export_artifacts",reload-or-toast,inline-error,n/a-or-rowVersion,409-on-rowVersion,—,period-detail.component.html,write
period-detail.component,Resolve Again,button/link,cbam:view,n/a,POST,/api/v1/cbam/organizations/{organization_id}/activity-records/{id}/factor-resolutions/{id}/resolve; /api/v1/cbam/organizations/{organization_id}/allocation-results/{id}/factor-resolutions/{id}/resolve; /api/v1/cbam/organizations/{organization_id}/purchased-inputs/{id}/factor-resolutions/{id}/resolve,resolveActivityFactor request DTO,CbamPeriodWorkspaceServices,"cbam_activity_records, cbam_purchased_input_records, cbam_allocation_results","cbam_activity_records, cbam_purchased_input_records, cbam_allocation_results",reload-or-toast,inline-error,create-new-row-or-n/a,n/a,reresolve(r),period-detail.component.html,navigate-or-read
