Screen,Section,Exact UI label,Angular component,Control/property,Visibility condition,Editable/read-only,Required/optional,Unit,Permission,HTTP endpoint,API field,Backend schema,Service,Model,Table,Column,Source type,Validation,Stale effect,Guide link
cbam-shell.component,cbam-shell.component.html,[display:status-line],cbam-shell.component.html,"class=""status-line""",conditional-css,read-only,n/a,—,cbam:view,GET …/module-status,—,n/a,CbamModuleStatusService,—,DERIVED_STATUS,UI_STATUS,DERIVED_STATUS,n/a-display-or-derived,may reflect stale,user-guide/README.md
cbam-shell.component,cbam-shell.component.html,[display:status-line status-error],cbam-shell.component.html,"class=""status-line status-error""",conditional-css,read-only,n/a,—,cbam:view,GET …/module-status,—,n/a,CbamModuleStatusService,—,DERIVED_STATUS,UI_STATUS,DERIVED_STATUS,n/a-display-or-derived,may reflect stale,user-guide/README.md
cbam-shell.component,cbam-shell.component.html,[display:status-panel],cbam-shell.component.html,"class=""status-panel""",conditional-css,read-only,n/a,—,cbam:view,GET …/module-status,—,n/a,CbamModuleStatusService,—,DERIVED_STATUS,UI_STATUS,DERIVED_STATUS,n/a-display-or-derived,may reflect stale,user-guide/README.md
cbam-shell.component,cbam-shell.component.html,[display:status-kicker],cbam-shell.component.html,"class=""status-kicker""",conditional-css,read-only,n/a,—,cbam:view,GET …/module-status,—,n/a,CbamModuleStatusService,—,DERIVED_STATUS,UI_STATUS,DERIVED_STATUS,n/a-display-or-derived,may reflect stale,user-guide/README.md
cbam-shell.component,cbam-shell.component.html,[display:status-message],cbam-shell.component.html,"class=""status-message""",conditional-css,read-only,n/a,—,cbam:view,GET …/module-status,—,n/a,CbamModuleStatusService,—,DERIVED_STATUS,UI_STATUS,DERIVED_STATUS,n/a-display-or-derived,may reflect stale,user-guide/README.md
cbam-shell.component,cbam-shell.component.html,[display:status-facts],cbam-shell.component.html,"class=""status-facts""",conditional-css,read-only,n/a,—,cbam:view,GET …/module-status,—,n/a,CbamModuleStatusService,—,DERIVED_STATUS,UI_STATUS,DERIVED_STATUS,n/a-display-or-derived,may reflect stale,user-guide/README.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,created,direct-emissions-allocation/direct-emissions-allocation.component.html,table-column:created,when-rows,read-only-display,n/a,datetime,cbam:view,n/a-ui-only,created,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,created,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,status,direct-emissions-allocation/direct-emissions-allocation.component.html,table-column:status,when-rows,read-only-display,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,status,CbamDirectEmissionsAllocationResult ORM / API DTO,CbamDirectEmissionsAllocationService,CbamDirectEmissionsAllocationResult,cbam_direct_emissions_allocation_results,status,DERIVED_STATUS,server-authoritative,none-or-row-version-conflict,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,cbam,direct-emissions-allocation/direct-emissions-allocation.component.html,table-column:cbam,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,cbam,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,cbam,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,allocated,direct-emissions-allocation/direct-emissions-allocation.component.html,table-column:allocated,when-rows,read-only-display,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,allocated,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,allocated,NOT_PERSISTED,no-matching-column,stale-until-recalculate-or-new-execution,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,balance,direct-emissions-allocation/direct-emissions-allocation.component.html,table-column:balance,when-rows,read-only-display,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,balance,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,balance,NOT_PERSISTED,no-matching-column,may-reflect-stale-upstream,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,actions,direct-emissions-allocation/direct-emissions-allocation.component.html,table-column:actions,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,actions,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,actions,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/12-*.md
